flow_rate_gpm,annulus,ecc,di/do,test_fluid,shear_pa,k,m,diff_p
0.0485,annulus_1,1.0,0.27,XCD-PAC4,1.9,4.28,0.36,12.72
0.0331,annulus_1,1.0,0.27,XCD-PAC4,1.9,4.28,0.36,11.47
16.4815,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,91.67
14.9697,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,87.46
13.7136,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,84.3
12.4359,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,81.55
10.199,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,76.71
8.5713,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,72.94
7.0164,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,68.67
6.0652,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,65.46
4.8113,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,60.93
3.4997,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,55.13
2.6635,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,50.59
2.108,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,47.37
1.6105,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,43.49
1.2688,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,40.15
0.7619,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,34.06
0.4776,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,29.33
0.4596,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,29.55
0.3515,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,27.24
0.2416,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,24.13
0.1308,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,20.0
0.0804,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,17.2
0.0485,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,14.83
0.0331,annulus_2,1.0,0.36,XCD-PAC4,1.9,4.28,0.36,13.29
16.4815,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,1531.38
14.9697,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,1413.11
13.7136,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,1325.23
12.4359,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,1243.07
10.199,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,1103.3
8.5713,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,1007.14
7.0164,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,919.21
6.0652,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,859.74
4.8113,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,769.32
3.4997,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,666.66
2.6635,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,589.45
2.108,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,546.88
1.6105,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,491.63
1.2688,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,446.89
0.7619,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,372.09
0.4776,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,318.22
0.4596,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,319.22
0.3515,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,291.74
0.2416,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,257.74
0.1308,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,210.53
0.0804,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,180.75
0.0485,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,154.28
0.0331,annulus_4,1.0,0.76,XCD-PAC4,1.9,4.28,0.36,139.28
14.6376,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,76.8
13.7002,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,75.0
12.5108,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,72.35
10.3599,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,68.23
8.8176,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,64.8
7.7482,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,62.35
6.1367,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,57.94
4.8775,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,53.56
3.3879,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,47.55
2.6656,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,43.93
2.1411,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,40.65
1.6531,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,37.04
1.1466,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,32.58
0.6048,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,26.09
0.4715,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,23.89
0.3709,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,21.8
0.233,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,18.58
0.1472,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,15.93
0.0763,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,12.84
0.036,annulus_1,0.75,0.27,XCD-PAC5,3.5,3.27,0.39,10.37
14.6376,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,97.61
13.7002,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,95.19
12.5108,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,91.91
10.3599,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,86.41
8.8176,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,82.64
7.7482,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,79.46
6.1367,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,73.15
4.8775,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,68.0
3.3879,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,59.94
2.6656,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,55.24
2.1411,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,51.37
1.6531,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,47.05
1.1466,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,41.57
0.6048,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,33.19
0.4715,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,30.21
0.3709,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,27.91
0.233,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,23.92
0.1472,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,20.29
0.0763,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,16.48
0.036,annulus_2,0.6,0.36,XCD-PAC5,3.5,3.27,0.39,13.2
14.6376,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,1401.13
13.7002,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,1340.44
12.5108,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,1261.09
10.3599,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,1131.77
8.8176,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,1038.81
7.7482,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,974.03
6.1367,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,870.68
4.8775,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,786.69
3.3879,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,670.64
2.6656,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,606.13
2.1411,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,554.31
1.6531,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,504.9
1.1466,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,437.42
0.6048,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,350.37
0.4715,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,322.11
0.3709,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,295.32
0.233,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,250.43
0.1472,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,215.39
0.0763,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,176.09
0.036,annulus_4,0.8,0.76,XCD-PAC5,3.5,3.27,0.39,143.71
19.5179,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,45.97
17.5772,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,44.26
16.2736,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,43.25
14.8518,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,42.1
13.2387,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,40.87
11.9625,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,39.91
10.7312,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,38.69
9.4025,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,37.64
7.7639,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,36.19
6.1323,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,34.58
3.7924,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,31.48
3.0529,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,30.49
2.4175,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,29.05
1.7914,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,27.69
1.2689,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,26.04
0.7957,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,24.29
0.6117,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,23.31
0.4524,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,24.04
0.2537,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,22.07
0.1321,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,20.24
0.0484,annulus_1,0.75,0.27,XCD9,8.1,0.9,0.45,17.48
19.5179,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,56.63
17.5772,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,54.42
16.2736,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,52.94
14.8518,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,51.54
13.2387,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,49.99
11.9625,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,48.82
10.7312,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,47.64
9.4025,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,46.09
7.7639,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,44.27
6.1323,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,41.91
3.7924,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,38.22
3.0529,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,36.54
2.4175,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,35.06
1.7914,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,33.15
1.2689,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,31.14
0.7957,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,29.02
0.6117,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,28.0
0.4524,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,28.68
0.2537,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,26.45
0.1321,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,23.89
0.0484,annulus_2,0.6,0.36,XCD9,8.1,0.9,0.45,20.45
19.5179,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,1114.42
17.5772,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,992.27
16.2736,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,915.83
14.8518,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,849.57
13.2387,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,771.33
11.9625,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,716.25
10.7312,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,665.43
9.4025,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,609.08
7.7639,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,547.34
6.1323,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,480.61
3.7924,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,375.87
3.0529,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,342.97
2.4175,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,312.16
1.7914,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,278.44
1.2689,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,244.52
0.7957,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,212.75
0.6117,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,196.11
0.4524,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,196.16
0.2537,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,165.46
0.1321,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,138.23
0.0484,annulus_4,0.8,0.76,XCD9,8.1,0.9,0.45,116.31
16.0015,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,60.67
14.7502,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,58.35
13.4102,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,56.39
12.1711,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,54.7
10.1441,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,52.0
9.1456,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,50.53
8.1403,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,49.46
7.1112,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,47.9
5.9314,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,46.15
4.6217,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,43.51
3.617,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,41.35
2.7948,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,39.41
1.7409,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,35.73
1.2742,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,33.37
0.8146,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,30.75
0.4978,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,28.24
0.4611,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,28.89
0.3081,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,27.17
0.1793,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,25.2
0.0625,annulus_1,0.65,0.27,XCD10,9.0,1.01,0.48,21.61
16.0015,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,96.57
14.7502,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,91.97
13.4102,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,87.95
12.1711,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,84.41
10.1441,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,79.36
9.1456,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,77.3
8.1403,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,74.7
7.1112,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,71.95
5.9314,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,68.37
4.6217,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,63.94
3.617,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,60.07
2.7948,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,57.07
1.7409,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,51.16
1.2742,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,48.28
0.8146,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,44.33
0.4978,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,40.75
0.4611,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,43.01
0.3081,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,40.1
0.1793,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,36.85
0.0625,annulus_2,0.0,0.36,XCD10,9.0,1.01,0.48,31.91
16.0015,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,1312.54
14.7502,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,1202.66
13.4102,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,1126.86
12.1711,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,1103.97
10.1441,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,1028.97
9.1456,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,869.33
8.1403,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,788.74
7.1112,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,732.98
5.9314,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,645.98
4.6217,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,573.73
3.617,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,513.33
2.7948,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,455.66
1.7409,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,376.25
1.2742,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,329.97
0.8146,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,281.07
0.4978,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,239.3
0.4611,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,241.2
0.3081,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,218.25
0.1793,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,194.1
0.0625,annulus_4,0.85,0.76,XCD10,9.0,1.01,0.48,157.65
14.19,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,78.84
13.0491,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,76.51
11.9077,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,73.89
10.7103,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,71.35
9.3385,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,68.09
8.2145,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,65.33
7.2364,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,62.85
6.2585,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,60.0
5.0715,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,56.02
3.8427,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,51.28
3.2611,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,48.81
2.6034,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,45.31
2.0654,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,41.77
1.5548,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,37.64
1.0053,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,32.6
0.5526,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,26.45
0.4725,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,24.74
0.2827,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,20.9
0.1637,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,17.67
0.0878,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,14.7
0.0459,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,12.35
0.0246,annulus_1,0.65,0.27,XCD-PAC8,3.8,2.98,0.4,10.51
14.19,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,126.91
13.0491,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,122.12
11.9077,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,118.46
10.7103,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,113.89
9.3385,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,108.99
8.2145,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,104.21
7.2364,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,99.46
6.2585,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,94.81
5.0715,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,87.98
3.8427,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,80.16
3.2611,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,76.61
2.6034,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,71.22
2.0654,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,65.27
1.5548,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,59.07
1.0053,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,51.67
0.5526,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,42.61
0.4725,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,39.37
0.2827,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,33.56
0.1637,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,28.26
0.0878,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,23.37
0.0459,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,19.51
0.0246,annulus_2,0.0,0.36,XCD-PAC8,3.8,2.98,0.4,16.69
14.19,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,1478.64
13.0491,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,1385.93
11.9077,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,1300.25
10.7103,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,1210.11
9.3385,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,1121.55
8.2145,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,1051.68
7.2364,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,990.24
6.2585,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,921.33
5.0715,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,831.24
3.8427,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,732.42
3.2611,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,695.59
2.6034,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,625.39
2.0654,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,567.38
1.5548,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,515.51
1.0053,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,470.74
0.5526,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,386.51
0.4725,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,386.63
0.2827,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,358.2
0.1637,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,286.46
0.0878,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,279.86
0.0459,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,215.51
0.0246,annulus_4,0.85,0.76,XCD-PAC8,3.8,2.98,0.4,196.74
